,from,to,weight,correlation
269,NR2F2,ZBTB16,55.26145392217136,red
270,NEUROG1,PRPH,115.90620546808792,red
271,EBF3,PRPH,98.55354933736058,red
272,TFAP2C,PDK1,57.67287291445455,blue
273,ZEB2,PDK1,78.07054369680911,red
274,NEUROG1,CELF3,85.47736170418695,red
275,TFAP2C,ZC4H2,57.08726213955524,blue
276,ZEB2,ZC4H2,66.36506030087567,red
277,NKX6-2,ZC4H2,78.3601850287667,red
278,LHX2,PAX6,143.1497687108014,red
279,RAX,PAX6,112.1436582022153,red
280,GATA2,ZEB2,84.54116187390629,blue
281,TFAP2C,ZEB2,108.40599321811992,blue
282,TFAP2A,ZEB2,85.71533486686376,blue
